Time,Time Step,gain,Reading,adc Milli Volts,Input mv,I,Irms,
0.105604,0.0028590000000000004,8,57,14.25,1.503,0.068,0.034,
0.108467,0.0028629999999999906,16,112,14.0,1.477,0.067,0.011,
0.111326,0.0028590000000000004,16,108,13.5,1.424,0.065,0.015,
0.114197,0.0028710000000000124,16,112,14.0,1.477,0.067,0.018,
0.117051,0.0028539999999999954,16,107,13.375,1.411,0.064,0.021,
0.119905,0.0028539999999999954,16,115,14.375,1.516,0.069,0.023,
0.122763,0.0028579999999999994,16,112,14.0,1.477,0.067,0.025,
0.125622,0.0028590000000000143,16,116,14.5,1.53,0.07,0.027,
0.128474,0.0028519999999999934,16,116,14.5,1.53,0.07,0.029,
0.131327,0.0028529999999999944,16,117,14.625,1.543,0.07,0.03,
0.134187,0.0028600000000000014,16,114,14.25,1.503,0.068,0.032,
0.137046,0.0028590000000000004,16,115,14.375,1.516,0.069,0.033,
0.139904,0.0028579999999999994,16,114,14.25,1.503,0.068,0.034,
0.14288,0.0029760000000000064,16,115,14.375,1.516,0.069,0.035,
0.145827,0.002947000000000005,16,116,14.5,1.53,0.07,0.036,
0.148724,0.002896999999999983,16,111,13.875,1.464,0.067,0.037,
0.151582,0.0028579999999999994,16,122,15.25,1.609,0.073,0.038,
0.154444,0.0028620000000000034,16,114,14.25,1.503,0.068,0.039,
0.157301,0.0028569999999999984,16,107,13.375,1.411,0.064,0.039,
0.160177,0.0028760000000000174,16,117,14.625,1.543,0.07,0.04,
0.163077,0.002899999999999986,16,114,14.25,1.503,0.068,0.041,
0.165947,0.0028700000000000114,16,116,14.5,1.53,0.07,0.041,
0.168807,0.0028600000000000014,16,114,14.25,1.503,0.068,0.042,
0.171662,0.0028549999999999964,16,115,14.375,1.516,0.069,0.043,
0.174585,0.002922999999999981,16,113,14.125,1.49,0.068,0.043,
0.177449,0.0028640000000000054,16,114,14.25,1.503,0.068,0.044,
0.180336,0.0028870000000000007,16,113,14.125,1.49,0.068,0.044,
0.183191,0.0028549999999999964,16,117,14.625,1.543,0.07,0.045,
0.003373,0.003373,16,112,14.0,1.477,0.067,0.052,
0.006297,0.0029239999999999995,16,113,14.125,1.49,0.068,0.058,
0.009189,0.0028919999999999996,16,118,14.75,1.556,0.071,0.061,
0.012048,0.0028590000000000004,16,115,14.375,1.516,0.069,0.063,
0.014903,0.002855,16,113,14.125,1.49,0.068,0.064,
0.017779,0.002876,16,110,13.75,1.45,0.066,0.064,
0.020648,0.002869,16,112,14.0,1.477,0.067,0.065,
0.023504,0.002856000000000001,16,113,14.125,1.49,0.068,0.065,
0.026369,0.0028649999999999995,16,112,14.0,1.477,0.067,0.065,
0.02924,0.0028709999999999986,16,109,13.625,1.437,0.065,0.065,
0.032093,0.002853000000000005,16,113,14.125,1.49,0.068,0.065,
0.034941,0.0028479999999999964,16,117,14.625,1.543,0.07,0.066,
0.037807,0.0028660000000000005,16,116,14.5,1.53,0.07,0.066,
0.040673,0.0028660000000000005,16,116,14.5,1.53,0.07,0.066,
0.043525,0.0028520000000000004,16,113,14.125,1.49,0.068,0.066,
