Time,Time Step,gain,Reading,adc Milli Volts,Input mv,I,Irms,
0.103446,0.0028539999999999954,8,52,13.0,1.371,0.062,0.032,
0.106306,0.0028600000000000014,16,106,13.25,1.398,0.064,0.01,
0.109162,0.0028559999999999974,16,105,13.125,1.384,0.063,0.015,
0.112016,0.0028540000000000093,16,106,13.25,1.398,0.064,0.018,
0.11492,0.00290399999999999,16,107,13.375,1.411,0.064,0.02,
0.117782,0.0028620000000000034,16,108,13.5,1.424,0.065,0.022,
0.120642,0.0028600000000000014,16,106,13.25,1.398,0.064,0.024,
0.123499,0.0028569999999999984,16,104,13.0,1.371,0.062,0.026,
0.126351,0.0028519999999999934,16,106,13.25,1.398,0.064,0.027,
0.129203,0.002852000000000021,16,108,13.5,1.424,0.065,0.028,
0.132057,0.0028539999999999954,16,110,13.75,1.45,0.066,0.03,
0.13498,0.002922999999999981,16,107,13.375,1.411,0.064,0.031,
0.137848,0.0028680000000000094,16,107,13.375,1.411,0.064,0.032,
0.140702,0.0028539999999999954,16,105,13.125,1.384,0.063,0.033,
0.143557,0.0028549999999999964,16,107,13.375,1.411,0.064,0.034,
0.146419,0.0028620000000000034,16,106,13.25,1.398,0.064,0.035,
0.149274,0.0028549999999999964,16,110,13.75,1.45,0.066,0.035,
0.152126,0.002852000000000021,16,108,13.5,1.424,0.065,0.036,
0.155008,0.0028819999999999957,16,109,13.625,1.437,0.065,0.037,
0.157867,0.0028590000000000004,16,109,13.625,1.437,0.065,0.038,
0.160719,0.0028519999999999934,16,107,13.375,1.411,0.064,0.038,
0.163576,0.0028569999999999984,16,104,13.0,1.371,0.062,0.039,
0.166426,0.0028499999999999914,16,106,13.25,1.398,0.064,0.039,
0.169281,0.0028549999999999964,16,110,13.75,1.45,0.066,0.04,
0.172135,0.002854000000000023,16,109,13.625,1.437,0.065,0.041,
0.174992,0.0028569999999999984,16,109,13.625,1.437,0.065,0.041,
0.177845,0.0028529999999999944,16,107,13.375,1.411,0.064,0.042,
0.180698,0.0028529999999999944,16,106,13.25,1.398,0.064,0.042,
0.003677,0.003677,16,107,13.375,1.411,0.064,0.051,
0.006831,0.003154,16,104,13.0,1.371,0.062,0.055,
0.009926,0.0030950000000000005,16,108,13.5,1.424,0.065,0.057,
0.012994,0.0030679999999999995,16,109,13.625,1.437,0.065,0.059,
0.016058,0.003063999999999999,16,108,13.5,1.424,0.065,0.06,
0.019123,0.0030650000000000018,16,108,13.5,1.424,0.065,0.061,
0.022173,0.003049999999999997,16,106,13.25,1.398,0.064,0.061,
0.025289,0.0031160000000000007,16,106,13.25,1.398,0.064,0.061,
0.028498,0.003209,16,109,13.625,1.437,0.065,0.062,
0.031574,0.003075999999999999,16,109,13.625,1.437,0.065,0.062,
0.03463,0.003056000000000003,16,110,13.75,1.45,0.066,0.062,
0.037708,0.0030779999999999974,16,114,14.25,1.503,0.068,0.063,
0.040781,0.0030729999999999993,16,106,13.25,1.398,0.064,0.063,
0.043851,0.0030700000000000033,16,106,13.25,1.398,0.064,0.063,
0.046928,0.0030769999999999964,16,104,13.0,1.371,0.062,0.063,
0.049997,0.0030690000000000023,16,107,13.375,1.411,0.064,0.063,
0.053059,0.0030620000000000022,16,108,13.5,1.424,0.065,0.063,
0.056125,0.0030659999999999993,16,107,13.375,1.411,0.064,0.063,
0.059202,0.0030769999999999964,16,108,13.5,1.424,0.065,0.063,
0.062166,0.0029640000000000014,16,107,13.375,1.411,0.064,0.063,
0.065024,0.0028579999999999994,16,104,13.0,1.371,0.062,0.063,
0.067886,0.0028620000000000034,16,109,13.625,1.437,0.065,0.063,
0.070742,0.0028559999999999974,16,108,13.5,1.424,0.065,0.063,
0.073602,0.0028600000000000014,16,105,13.125,1.384,0.063,0.063,
