Time,Time Step,gain,Reading,adc Milli Volts,Input mv,I,Irms,
0.003872,0.003872,1,177,339.8,35.844,1.629,1.152,
0.00703,0.0031579999999999998,1,484,953.8,100.612,4.573,2.803,
0.010118,0.0030880000000000005,1,287,559.8,59.051,2.684,2.774,
0.013179,0.0030609999999999995,1,-169,-352.2,-37.152,-1.689,2.593,
0.016248,0.003068999999999999,1,-462,-938.2,-98.966,-4.498,2.996,
0.019311,0.0030629999999999998,1,-369,-752.2,-79.346,-3.607,3.091,
0.022364,0.003053,1,62,109.8,11.582,0.526,2.897,
0.025563,0.0031990000000000005,1,443,871.8,91.962,4.18,3.066,
0.028642,0.003079000000000002,2,884,869.8,91.751,4.171,1.319,
0.031697,0.003055000000000002,2,97,82.8,8.734,0.397,1.263,
0.034748,0.003050999999999998,2,-738,-752.2,-79.346,-3.607,1.596,
0.037807,0.0030589999999999992,2,-937,-951.2,-100.338,-4.561,1.988,
0.04086,0.003053,2,-323,-337.2,-35.57,-1.617,1.963,
0.043912,0.003051999999999999,2,565,550.8,58.101,2.641,2.016,
0.046984,0.0030719999999999983,2,968,953.8,100.612,4.573,2.262,
0.050085,0.0031009999999999996,2,575,560.8,59.156,2.689,2.289,
0.053146,0.0030610000000000012,2,-334,-348.2,-36.73,-1.67,2.259,
0.056215,0.0030690000000000023,2,-923,-937.2,-98.861,-4.494,2.429,
0.059282,0.0030670000000000003,2,-741,-755.2,-79.662,-3.621,2.502,
0.06234,0.0030579999999999982,2,123,108.8,11.477,0.522,2.444,
0.065401,0.0030610000000000012,2,882,867.8,91.54,4.161,2.547,
0.068454,0.003053,2,906,891.8,94.072,4.276,2.646,
0.071541,0.0030869999999999925,2,147,132.8,14.008,0.637,2.594,
0.074607,0.003066000000000013,2,-708,-722.2,-76.181,-3.463,2.634,
0.077672,0.0030649999999999983,2,-942,-956.2,-100.865,-4.585,2.735,
0.080739,0.0030670000000000003,2,-356,-370.2,-39.051,-1.775,2.705,
0.083801,0.0030619999999999953,2,541,526.8,55.57,2.526,2.699,
0.003683,0.003683,2,33,18.8,1.983,0.09,0.068,
0.006817,0.003134,2,-876,-890.2,-93.903,-4.268,2.465,
0.009913,0.003096,2,-850,-864.2,-91.16,-4.144,2.975,
0.012979,0.0030659999999999993,2,-47,-61.2,-6.456,-0.293,2.664,
0.016034,0.0030550000000000004,2,785,770.8,81.308,3.696,2.862,
0.019099,0.0030650000000000018,2,959,944.8,99.662,4.53,3.155,
0.022158,0.0030589999999999992,2,321,306.8,32.363,1.471,2.996,
0.025209,0.003050999999999998,2,-561,-575.2,-60.675,-2.758,2.971,
0.028265,0.0030559999999999997,2,-942,-956.2,-100.865,-4.585,3.169,
0.031325,0.0030600000000000002,2,-533,-547.2,-57.722,-2.624,3.124,
0.034377,0.003051999999999999,2,373,358.8,37.848,1.72,3.032,
0.037431,0.003054000000000001,2,952,937.8,98.924,4.497,3.169,
0.040626,0.0031950000000000034,2,763,748.8,78.987,3.59,3.201,
0.043714,0.0030880000000000005,2,-140,-154.2,-16.266,-0.739,3.098,
0.046781,0.0030670000000000003,2,-865,-879.2,-92.743,-4.216,3.179,
0.049847,0.0030659999999999993,2,-856,-870.2,-91.793,-4.172,3.246,
0.052907,0.0030600000000000002,2,-62,-76.2,-8.038,-0.365,3.156,
0.055971,0.0030639999999999973,2,775,760.8,80.253,3.648,3.184,
0.059038,0.0030670000000000003,2,962,947.8,99.979,4.544,3.265,
0.003415,0.003415,2,566,551.8,58.207,2.646,1.871,
0.00653,0.003115,2,-429,-443.2,-46.751,-2.125,1.959,
0.009606,0.0030759999999999997,2,-935,-949.2,-100.127,-4.551,2.839,
0.012682,0.0030760000000000006,2,-655,-669.2,-70.591,-3.209,2.916,
0.015743,0.0030609999999999995,2,238,223.8,23.608,1.073,2.698,
0.0188,0.0030570000000000007,2,923,908.8,95.865,4.357,2.992,
0.021869,0.003068999999999999,2,847,832.8,87.848,3.993,3.135,
0.024938,0.003068999999999999,2,25,10.8,1.139,0.052,2.955,
0.027995,0.0030570000000000007,2,-791,-805.2,-84.937,-3.861,3.058,
0.031121,0.0031260000000000003,4,-1839,-933.7,-98.492,-4.477,1.35,
0.034185,0.0030640000000000008,4,-451,-239.7,-25.285,-1.149,1.334,
0.037239,0.003054000000000001,4,1292,631.8,66.646,3.029,1.533,
0.040283,0.003043999999999998,4,1946,958.8,101.139,4.597,1.921,
0.043631,0.0033480000000000038,4,1004,487.8,51.456,2.339,1.952,
0.046633,0.0030019999999999977,4,-986,-507.2,-53.502,-2.432,1.985,
0.049505,0.0028719999999999996,4,-1872,-950.2,-100.232,-4.556,2.22,
0.052376,0.0028709999999999986,4,-1385,-706.7,-74.546,-3.388,2.301,
0.055277,0.002901000000000001,4,286,128.8,13.586,0.618,2.244,
0.05813,0.0028530000000000014,4,1733,852.3,89.905,4.087,2.37,
0.060989,0.0028590000000000004,4,1882,926.8,97.764,4.444,2.508,
0.063958,0.0029689999999999994,4,567,269.3,28.407,1.291,2.466,
0.066829,0.0028709999999999986,4,-1099,-563.7,-59.462,-2.703,2.477,
0.069728,0.002898999999999999,4,-1879,-953.7,-100.601,-4.573,2.598,
0.072625,0.002896999999999997,4,-1264,-646.2,-68.165,-3.098,2.62,
0.075489,0.0028640000000000054,4,414,192.8,20.338,0.924,2.576,
0.078354,0.0028649999999999926,4,1787,879.3,92.753,4.216,2.654,
0.081216,0.0028620000000000034,4,1835,903.3,95.285,4.331,2.732,
0.084071,0.0028550000000000103,4,480,225.8,23.819,1.083,2.692,
0.08693,0.0028589999999999866,4,-1155,-591.7,-62.416,-2.837,2.697,
