Time,Time Step,gain,Reading,adc Milli Volts,Input mv,I,Irms,
0.106563,0.0028870000000000007,8,57,14.25,1.503,0.068,0.034,
0.109448,0.0028849999999999987,16,113,14.125,1.49,0.068,0.011,
0.112338,0.00288999999999999,16,112,14.0,1.477,0.067,0.015,
0.115351,0.003013000000000002,16,113,14.125,1.49,0.068,0.019,
0.118283,0.002932000000000004,16,114,14.25,1.503,0.068,0.021,
0.121163,0.0028800000000000076,16,114,14.25,1.503,0.068,0.024,
0.124031,0.0028679999999999956,16,114,14.25,1.503,0.068,0.026,
0.127036,0.0030050000000000077,16,112,14.0,1.477,0.067,0.027,
0.130053,0.003016999999999992,16,112,14.0,1.477,0.067,0.029,
0.133052,0.0029990000000000017,16,113,14.125,1.49,0.068,0.03,
0.135955,0.002902999999999989,16,115,14.375,1.516,0.069,0.032,
0.138824,0.0028690000000000104,16,118,14.75,1.556,0.071,0.033,
0.141692,0.0028680000000000094,16,112,14.0,1.477,0.067,0.034,
0.144597,0.002904999999999991,16,110,13.75,1.45,0.066,0.035,
0.147611,0.003013999999999989,16,112,14.0,1.477,0.067,0.036,
0.150479,0.0028680000000000094,16,113,14.125,1.49,0.068,0.037,
0.153347,0.0028680000000000094,16,114,14.25,1.503,0.068,0.038,
0.156215,0.0028679999999999817,16,112,14.0,1.477,0.067,0.038,
0.159081,0.0028660000000000074,16,114,14.25,1.503,0.068,0.039,
0.162061,0.0029800000000000104,16,115,14.375,1.516,0.069,0.04,
0.164984,0.002922999999999981,16,114,14.25,1.503,0.068,0.041,
0.167873,0.0028890000000000027,16,112,14.0,1.477,0.067,0.041,
0.17074,0.0028670000000000084,16,120,15.0,1.582,0.072,0.042,
0.173599,0.0028590000000000004,16,111,13.875,1.464,0.067,0.042,
0.176528,0.002928999999999987,16,113,14.125,1.49,0.068,0.043,
0.179575,0.003047000000000022,16,112,14.0,1.477,0.067,0.044,
0.182463,0.002887999999999974,16,114,14.25,1.503,0.068,0.044,
0.185341,0.0028780000000000194,16,112,14.0,1.477,0.067,0.044,
0.003412,0.003412,16,115,14.375,1.516,0.069,0.054,
0.006774,0.0033619999999999995,16,115,14.375,1.516,0.069,0.059,
0.010694,0.003920000000000001,16,111,13.875,1.464,0.067,0.061,
0.014445,0.003750999999999999,16,115,14.375,1.516,0.069,0.063,
0.018074,0.0036290000000000003,16,112,14.0,1.477,0.067,0.063,
0.021809,0.0037349999999999987,16,114,14.25,1.503,0.068,0.064,
0.025104,0.003295000000000003,16,115,14.375,1.516,0.069,0.065,
0.028444,0.0033399999999999992,16,115,14.375,1.516,0.069,0.065,
0.031967,0.003523000000000002,16,115,14.375,1.516,0.069,0.066,
0.035612,0.0036449999999999955,16,113,14.125,1.49,0.068,0.066,
0.03897,0.003358,16,115,14.375,1.516,0.069,0.066,
0.04214,0.003169999999999999,16,110,13.75,1.45,0.066,0.066,
0.045363,0.0032230000000000036,16,113,14.125,1.49,0.068,0.066,
0.048553,0.0031899999999999984,16,115,14.375,1.516,0.069,0.066,
0.051627,0.0030740000000000003,16,113,14.125,1.49,0.068,0.066,
0.054967,0.0033400000000000027,16,111,13.875,1.464,0.067,0.066,
0.058177,0.0032099999999999976,16,113,14.125,1.49,0.068,0.067,
0.061254,0.0030770000000000033,16,114,14.25,1.503,0.068,0.067,
0.06435,0.0030960000000000015,16,109,13.625,1.437,0.065,0.067,
0.067428,0.0030779999999999974,16,116,14.5,1.53,0.07,0.067,
0.070709,0.0032809999999999923,16,114,14.25,1.503,0.068,0.067,
0.073878,0.003169000000000005,16,115,14.375,1.516,0.069,0.067,
0.077155,0.003277000000000002,16,115,14.375,1.516,0.069,0.067,
0.001928,0.001928,16,114,14.25,1.503,0.068,0.053,
0.003772,0.0018440000000000002,16,114,14.25,1.503,0.068,0.059,
0.005633,0.0018609999999999998,16,114,14.25,1.503,0.068,0.061,
0.007542,0.001909,16,115,14.375,1.516,0.069,0.063,
0.009418,0.0018759999999999992,16,114,14.25,1.503,0.068,0.064,
0.011314,0.0018960000000000001,16,114,14.25,1.503,0.068,0.064,
0.013171,0.001857000000000001,16,114,14.25,1.503,0.068,0.065,
0.014994,0.001823,16,112,14.0,1.477,0.067,0.065,
0.016819,0.0018250000000000002,16,113,14.125,1.49,0.068,0.065,
0.018692,0.0018729999999999997,16,112,14.0,1.477,0.067,0.066,
0.020552,0.0018600000000000005,16,115,14.375,1.516,0.069,0.066,
0.022483,0.0019309999999999987,16,114,14.25,1.503,0.068,0.066,
0.024351,0.0018680000000000016,16,112,14.0,1.477,0.067,0.066,
0.026202,0.0018509999999999985,16,112,14.0,1.477,0.067,0.066,
0.028021,0.0018190000000000012,16,119,14.875,1.569,0.071,0.067,
0.029845,0.0018239999999999992,16,113,14.125,1.49,0.068,0.067,
0.031662,0.0018170000000000026,16,113,14.125,1.49,0.068,0.067,
0.033477,0.0018149999999999972,16,114,14.25,1.503,0.068,0.067,
0.035289,0.0018120000000000011,16,113,14.125,1.49,0.068,0.067,
0.037102,0.0018130000000000021,16,113,14.125,1.49,0.068,0.067,
0.038926,0.0018239999999999992,16,115,14.375,1.516,0.069,0.067,
0.040744,0.0018180000000000002,16,113,14.125,1.49,0.068,0.067,
0.042558,0.0018139999999999962,16,112,14.0,1.477,0.067,0.067,
0.04437,0.0018120000000000011,16,108,13.5,1.424,0.065,0.067,
0.046181,0.0018110000000000001,16,114,14.25,1.503,0.068,0.067,
0.047994,0.0018130000000000021,16,116,14.5,1.53,0.07,0.067,
0.049813,0.0018190000000000012,16,112,14.0,1.477,0.067,0.067,
