Time,Time Step,gain,Reading,adc Milli Volts,Input mv,I,Irms,
0.128369,0.0001,8,52,-0.8000000000000007,-0.084,-0.004,0.001,
0.131181,0.0001,16,108,-0.3000000000000007,-0.032,-0.001,0.0,
0.133987,0.0001,16,109,-0.1750000000000007,-0.018,-0.001,0.0,
0.136973,0.0001,16,107,-0.4250000000000007,-0.045,-0.002,0.0,
0.140049,0.0001,16,109,-0.1750000000000007,-0.018,-0.001,0.0,
0.143214,0.0001,16,107,-0.4250000000000007,-0.045,-0.002,0.001,
0.146447,0.0001,16,107,-0.4250000000000007,-0.045,-0.002,0.001,
0.149329,0.0001,16,110,-0.05000000000000071,-0.005,-0.0,0.001,
0.151925,0.0001,16,106,-0.5500000000000007,-0.058,-0.003,0.001,
0.154438,0.0001,16,109,-0.1750000000000007,-0.018,-0.001,0.001,
0.156959,0.0001,16,106,-0.5500000000000007,-0.058,-0.003,0.001,
0.159646,0.0001,16,105,-0.6750000000000007,-0.071,-0.003,0.001,
0.162279,0.0001,16,110,-0.05000000000000071,-0.005,-0.0,0.001,
0.165114,0.0001,16,106,-0.5500000000000007,-0.058,-0.003,0.001,
0.168277,0.0001,16,106,-0.5500000000000007,-0.058,-0.003,0.001,
0.171545,0.0001,16,105,-0.6750000000000007,-0.071,-0.003,0.001,
0.174607,0.0001,16,108,-0.3000000000000007,-0.032,-0.001,0.001,
0.17786,0.0001,16,108,-0.3000000000000007,-0.032,-0.001,0.001,
0.18054,0.0001,16,109,-0.1750000000000007,-0.018,-0.001,0.001,
0.183102,0.0001,16,106,-0.5500000000000007,-0.058,-0.003,0.001,
0.185659,0.0001,16,108,-0.3000000000000007,-0.032,-0.001,0.001,
0.188224,0.0001,16,106,-0.5500000000000007,-0.058,-0.003,0.001,
0.190865,0.0001,16,109,-0.1750000000000007,-0.018,-0.001,0.001,
0.193455,0.0001,16,108,-0.3000000000000007,-0.032,-0.001,0.001,
0.195985,0.0001,16,109,-0.1750000000000007,-0.018,-0.001,0.001,
0.198568,0.0001,16,106,-0.5500000000000007,-0.058,-0.003,0.001,
0.201329,0.0001,16,108,-0.3000000000000007,-0.032,-0.001,0.001,
0.204095,0.0001,16,105,-0.6750000000000007,-0.071,-0.003,0.001,
0.206906,0.0001,16,113,0.3249999999999993,0.034,0.002,0.001,
0.209913,0.0001,16,109,-0.1750000000000007,-0.018,-0.001,0.001,
