Time,Time Step,gain,Reading,adc Milli Volts,Input mv,I,Irms,
0.10628,0.0028679999999999956,8,53,-0.9499999999999993,-0.1,-0.005,0.002,
0.109162,0.0028819999999999957,16,106,-0.9499999999999993,-0.1,-0.005,0.001,
0.112036,0.0028740000000000016,16,107,-0.8249999999999993,-0.087,-0.004,0.001,
0.114895,0.0028590000000000004,16,101,-1.5749999999999993,-0.166,-0.008,0.002,
0.117802,0.002907000000000007,16,105,-1.0749999999999993,-0.113,-0.005,0.002,
0.120678,0.0028759999999999897,16,108,-0.6999999999999993,-0.074,-0.003,0.002,
0.123536,0.0028580000000000133,16,109,-0.5749999999999993,-0.061,-0.003,0.002,
0.126394,0.0028579999999999994,16,110,-0.4499999999999993,-0.047,-0.002,0.002,
0.129256,0.0028620000000000034,16,106,-0.9499999999999993,-0.1,-0.005,0.002,
0.132113,0.0028569999999999984,16,106,-0.9499999999999993,-0.1,-0.005,0.002,
0.134974,0.0028610000000000024,16,106,-0.9499999999999993,-0.1,-0.005,0.002,
0.137866,0.002891999999999978,16,100,-1.6999999999999993,-0.179,-0.008,0.002,
0.140731,0.0028650000000000064,16,107,-0.8249999999999993,-0.087,-0.004,0.002,
0.143586,0.0028549999999999964,16,111,-0.3249999999999993,-0.034,-0.002,0.002,
0.146446,0.0028600000000000014,16,108,-0.6999999999999993,-0.074,-0.003,0.002,
0.149317,0.0028710000000000124,16,106,-0.9499999999999993,-0.1,-0.005,0.003,
0.152184,0.0028670000000000084,16,105,-1.0749999999999993,-0.113,-0.005,0.003,
0.15504,0.0028559999999999974,16,106,-0.9499999999999993,-0.1,-0.005,0.003,
0.157928,0.0028880000000000017,16,106,-0.9499999999999993,-0.1,-0.005,0.003,
0.160795,0.0028669999999999807,16,108,-0.6999999999999993,-0.074,-0.003,0.003,
0.163652,0.0028569999999999984,16,109,-0.5749999999999993,-0.061,-0.003,0.003,
0.003674,0.003674,16,110,-0.4499999999999993,-0.047,-0.002,0.022,
0.006802,0.0031279999999999997,16,106,-0.9499999999999993,-0.1,-0.005,0.018,
0.009863,0.0030610000000000004,16,98,-1.9499999999999993,-0.206,-0.009,0.017,
0.012915,0.003051999999999999,16,103,-1.3249999999999993,-0.14,-0.006,0.015,
0.015987,0.003072000000000002,16,108,-0.6999999999999993,-0.074,-0.003,0.014,
0.019048,0.0030609999999999978,16,108,-0.6999999999999993,-0.074,-0.003,0.013,
0.022098,0.0030500000000000006,16,105,-1.0749999999999993,-0.113,-0.005,0.012,
0.025161,0.0030629999999999998,16,107,-0.8249999999999993,-0.087,-0.004,0.012,
0.028218,0.0030570000000000007,16,106,-0.9499999999999993,-0.1,-0.005,0.011,
0.031289,0.0030709999999999973,16,102,-1.4499999999999993,-0.153,-0.007,0.011,
0.034327,0.003038000000000006,16,109,-0.5749999999999993,-0.061,-0.003,0.01,
0.037212,0.0028849999999999987,16,108,-0.6999999999999993,-0.074,-0.003,0.01,
0.040071,0.0028590000000000004,16,107,-0.8249999999999993,-0.087,-0.004,0.01,
0.042929,0.0028579999999999994,16,108,-0.6999999999999993,-0.074,-0.003,0.009,
0.04579,0.0028609999999999955,16,103,-1.3249999999999993,-0.14,-0.006,0.009,
0.048649,0.0028590000000000004,16,110,-0.4499999999999993,-0.047,-0.002,0.009,
0.051507,0.0028579999999999994,16,103,-1.3249999999999993,-0.14,-0.006,0.009,
0.054377,0.0028700000000000045,16,106,-0.9499999999999993,-0.1,-0.005,0.009,
0.057244,0.0028670000000000015,16,107,-0.8249999999999993,-0.087,-0.004,0.009,
0.00326,0.00326,16,107,-0.8249999999999993,-0.087,-0.004,0.023,
0.006378,0.003118,16,106,-0.9499999999999993,-0.1,-0.005,0.019,
0.009506,0.0031280000000000006,16,107,-0.8249999999999993,-0.087,-0.004,0.016,
0.012576,0.00307,16,102,-1.4499999999999993,-0.153,-0.007,0.015,
