Time,Time Step,gain,Reading,adc Milli Volts,Input mv,I,Irms,
0.125285,0.0001,8,52,-0.8000000000000007,-0.084,-0.004,0.001,
0.129396,0.0001,16,103,-0.9250000000000007,-0.098,-0.004,0.001,
0.132197,0.0001,16,107,-0.4250000000000007,-0.045,-0.002,0.001,
0.134883,0.0001,16,107,-0.4250000000000007,-0.045,-0.002,0.001,
0.137483,0.0001,16,107,-0.4250000000000007,-0.045,-0.002,0.001,
0.139681,0.0001,16,107,-0.4250000000000007,-0.045,-0.002,0.001,
0.142042,0.0001,16,104,-0.8000000000000007,-0.084,-0.004,0.001,
0.144237,0.0001,16,105,-0.6750000000000007,-0.071,-0.003,0.001,
0.146357,0.0001,16,101,-1.1750000000000007,-0.124,-0.006,0.001,
0.148349,0.0001,16,107,-0.4250000000000007,-0.045,-0.002,0.001,
0.15033,0.0001,16,107,-0.4250000000000007,-0.045,-0.002,0.001,
0.152318,0.0001,16,109,-0.1750000000000007,-0.018,-0.001,0.001,
0.154274,0.0001,16,108,-0.3000000000000007,-0.032,-0.001,0.001,
0.156603,0.0001,16,108,-0.3000000000000007,-0.032,-0.001,0.001,
0.158756,0.0001,16,110,-0.05000000000000071,-0.005,-0.0,0.001,
0.160951,0.0001,16,108,-0.3000000000000007,-0.032,-0.001,0.001,
0.162962,0.0001,16,104,-0.8000000000000007,-0.084,-0.004,0.001,
0.165527,0.0001,16,107,-0.4250000000000007,-0.045,-0.002,0.001,
0.167922,0.0001,16,106,-0.5500000000000007,-0.058,-0.003,0.001,
0.17011,0.0001,16,106,-0.5500000000000007,-0.058,-0.003,0.002,
0.172215,0.0001,16,108,-0.3000000000000007,-0.032,-0.001,0.002,
0.174276,0.0001,16,109,-0.1750000000000007,-0.018,-0.001,0.002,
0.17624,0.0001,16,105,-0.6750000000000007,-0.071,-0.003,0.002,
0.17841,0.0001,16,105,-0.6750000000000007,-0.071,-0.003,0.002,
0.180592,0.0001,16,105,-0.6750000000000007,-0.071,-0.003,0.002,
0.182961,0.0001,16,106,-0.5500000000000007,-0.058,-0.003,0.002,
0.186326,0.0001,16,108,-0.3000000000000007,-0.032,-0.001,0.002,
0.18853,0.0001,16,106,-0.5500000000000007,-0.058,-0.003,0.002,
0.190503,0.0001,16,107,-0.4250000000000007,-0.045,-0.002,0.002,
0.192573,0.0001,16,106,-0.5500000000000007,-0.058,-0.003,0.002,
0.194566,0.0001,16,109,-0.1750000000000007,-0.018,-0.001,0.002,
0.196494,0.0001,16,107,-0.4250000000000007,-0.045,-0.002,0.002,
0.198753,0.0001,16,108,-0.3000000000000007,-0.032,-0.001,0.002,
0.201167,0.0001,16,105,-0.6750000000000007,-0.071,-0.003,0.002,
0.203554,0.0001,16,108,-0.3000000000000007,-0.032,-0.001,0.002,
0.206056,0.0001,16,108,-0.3000000000000007,-0.032,-0.001,0.002,
0,0.0001,1,0.0,0.0,0.0,0.0,0.0,
0.003785,0.0001,16,108,-0.3000000000000007,-0.032,-0.001,0.001,
0.007193,0.0001,16,106,-0.5500000000000007,-0.058,-0.003,0.002,
0.010749,0.0001,16,107,-0.4250000000000007,-0.045,-0.002,0.002,
0.016069,0.0001,16,105,-0.6750000000000007,-0.071,-0.003,0.002,
0.02173,0.0001,16,107,-0.4250000000000007,-0.045,-0.002,0.002,
0.026441,0.0001,16,111,0.07499999999999929,0.008,0.0,0.002,
0.030616,0.0001,16,107,-0.4250000000000007,-0.045,-0.002,0.002,
0.035128,0.0001,16,105,-0.6750000000000007,-0.071,-0.003,0.002,
0.038332,0.0001,16,108,-0.3000000000000007,-0.032,-0.001,0.002,
0.041436,0.0001,16,108,-0.3000000000000007,-0.032,-0.001,0.002,
0.044722,0.0001,16,103,-0.9250000000000007,-0.098,-0.004,0.002,
0.048089,0.0001,16,107,-0.4250000000000007,-0.045,-0.002,0.002,
0.051561,0.0001,16,110,-0.05000000000000071,-0.005,-0.0,0.002,
0.054955,0.0001,16,103,-0.9250000000000007,-0.098,-0.004,0.002,
0.058199,0.0001,16,108,-0.3000000000000007,-0.032,-0.001,0.002,
0.061592,0.0001,16,105,-0.6750000000000007,-0.071,-0.003,0.002,
0.065576,0.0001,16,106,-0.5500000000000007,-0.058,-0.003,0.002,
0.06983,0.0001,16,105,-0.6750000000000007,-0.071,-0.003,0.003,
0.073748,0.0001,16,106,-0.5500000000000007,-0.058,-0.003,0.003,
0.077281,0.0001,16,107,-0.4250000000000007,-0.045,-0.002,0.003,
0.08076,0.0001,16,108,-0.3000000000000007,-0.032,-0.001,0.002,
0.013503,0.0001,16,130,2.4499999999999993,0.258,0.012,0.087,
0.017463,0.0001,16,378,33.45,3.528,0.16,0.065,
0.020731,0.0001,16,233,15.325,1.617,0.073,0.067,
0.024025,0.0001,16,62,-6.050000000000001,-0.638,-0.029,0.063,
0.027368,0.0001,16,-170,-35.05,-3.697,-0.168,0.082,
0.030522,0.0001,16,-38,-18.55,-1.957,-0.089,0.083,
0.033628,0.0001,16,141,3.8249999999999993,0.403,0.018,0.079,
0.036816,0.0001,16,359,31.075,3.278,0.149,0.087,
0.039867,0.0001,16,305,24.325,2.566,0.117,0.09,
0.043174,0.0001,16,97,-1.6750000000000007,-0.177,-0.008,0.086,
0.046622,0.0001,16,-122,-29.05,-3.064,-0.139,0.091,
0.050247,0.0001,16,-91,-25.175,-2.656,-0.121,0.093,
0.053536,0.0001,16,133,2.8249999999999993,0.298,0.014,0.09,
0.056996,0.0001,16,361,31.325,3.304,0.15,0.095,
0.060459,0.0001,16,274,20.45,2.157,0.098,0.095,
0.064581,0.0001,16,63,-5.925000000000001,-0.625,-0.028,0.093,
0.068439,0.0001,16,-174,-35.55,-3.75,-0.17,0.098,
0.072028,0.0001,16,51,-7.425000000000001,-0.783,-0.036,0.096,
0.075856,0.0001,16,247,17.075,1.801,0.082,0.095,
0.079687,0.0001,16,333,27.825,2.935,0.133,0.097,
0.083115,0.0001,16,103,-0.9250000000000007,-0.098,-0.004,0.095,
0.086301,0.0001,16,-101,-26.425,-2.787,-0.127,0.097,
0.089598,0.0001,16,-121,-28.925,-3.051,-0.139,0.098,
0.092914,0.0001,16,95,-1.9250000000000007,-0.203,-0.009,0.097,
0.097222,0.0001,16,332,27.7,2.922,0.133,0.098,
0.022355,0.0001,16,114,0.4499999999999993,0.047,0.002,0.09,
0.026109,0.0001,16,339,28.575,3.014,0.137,0.048,
0.02977,0.0001,16,270,19.95,2.104,0.096,0.056,
0.033206,0.0001,16,62,-6.050000000000001,-0.638,-0.029,0.054,
0.036577,0.0001,16,-157,-33.425,-3.526,-0.16,0.07,
0.039934,0.0001,16,-39,-18.675,-1.97,-0.09,0.072,
0.043516,0.0001,16,147,4.574999999999999,0.483,0.022,0.07,
0.047236,0.0001,16,382,33.95,3.581,0.163,0.08,
0.051135,0.0001,16,189,9.825,1.036,0.047,0.078,
0.054738,0.0001,16,-5,-14.425,-1.522,-0.069,0.078,
0.058226,0.0001,16,-150,-32.55,-3.434,-0.156,0.084,
0.061973,0.0001,16,76,-4.300000000000001,-0.454,-0.021,0.082,
0.066004,0.0001,16,297,23.325,2.46,0.112,0.084,
0.070306,0.0001,16,265,19.325,2.039,0.093,0.084,
0.074224,0.0001,16,41,-8.675,-0.915,-0.042,0.083,
0.07783,0.0001,16,-167,-34.675,-3.658,-0.166,0.088,
0.082028,0.0001,16,66,-5.550000000000001,-0.585,-0.027,0.087,
0.086321,0.0001,16,329,27.325,2.882,0.131,0.089,
0.090312,0.0001,16,241,16.325,1.722,0.078,0.088,
0.093961,0.0001,16,53,-7.175000000000001,-0.757,-0.034,0.087,
0.0971,0.0001,16,-172,-35.3,-3.724,-0.169,0.091,
0.100285,0.0001,16,-20,-16.3,-1.719,-0.078,0.091,
0.103396,0.0001,16,158,5.949999999999999,0.628,0.029,0.09,
0.022794,0.0001,16,173,7.824999999999999,0.825,0.038,0.087,
0.026647,0.0001,16,359,31.075,3.278,0.149,0.053,
0.030184,0.0001,16,122,1.4499999999999993,0.153,0.007,0.05,
0.033586,0.0001,16,-71,-22.675,-2.392,-0.109,0.058,
0.037043,0.0001,16,-120,-28.8,-3.038,-0.138,0.07,
0.040382,0.0001,16,104,-0.8000000000000007,-0.084,-0.004,0.067,
0.043942,0.0001,16,302,23.95,2.526,0.115,0.071,
0.047674,0.0001,16,307,24.575,2.592,0.118,0.076,
0.051467,0.0001,16,72,-4.800000000000001,-0.506,-0.023,0.073,
0.055041,0.0001,16,-159,-33.675,-3.552,-0.161,0.082,
0.058919,0.0001,16,-11,-15.175,-1.601,-0.073,0.081,
0.063326,0.0001,16,207,12.075,1.274,0.058,0.08,
0.06791,0.0001,16,318,25.95,2.737,0.124,0.083,
0.072829,0.0001,16,56,-6.800000000000001,-0.717,-0.033,0.081,
0.077057,0.0001,16,-143,-31.675,-3.341,-0.152,0.086,
0.081533,0.0001,16,127,2.0749999999999993,0.219,0.01,0.084,
0.085387,0.0001,16,376,33.2,3.502,0.159,0.089,
0.089044,0.0001,16,199,11.075,1.168,0.053,0.087,
0.092592,0.0001,16,32,-9.8,-1.034,-0.047,0.086,
0.096382,0.0001,16,-162,-34.05,-3.592,-0.163,0.09,
0.100219,0.0001,16,75,-4.425000000000001,-0.467,-0.021,0.089,
0.104108,0.0001,16,294,22.95,2.421,0.11,0.09,
0.010921,0.0001,16,26,-10.55,-1.113,-0.051,0.088,
0.014865,0.0001,16,222,13.95,1.472,0.067,0.03,
