Time,Time Step,gain,Reading,adc Milli Volts,Input mv,I,Irms,
0.124704,0.0001,8,53,13.25,1.398,0.064,0.032,
0.128125,0.0001,16,107,13.375,1.411,0.064,0.01,
0.131555,0.0001,16,109,13.625,1.437,0.065,0.015,
0.134978,0.0001,16,105,13.125,1.384,0.063,0.018,
0.13826,0.0001,16,110,13.75,1.45,0.066,0.02,
0.141499,0.0001,16,109,13.625,1.437,0.065,0.022,
0.144877,0.0001,16,104,13.0,1.371,0.062,0.024,
0.148147,0.0001,16,110,13.75,1.45,0.066,0.026,
0.151248,0.0001,16,106,13.25,1.398,0.064,0.027,
0.154426,0.0001,16,110,13.75,1.45,0.066,0.029,
0.157897,0.0001,16,108,13.5,1.424,0.065,0.03,
0.160171,0.0001,16,110,13.75,1.45,0.066,0.031,
0.16246,0.0001,16,108,13.5,1.424,0.065,0.032,
0.164987,0.0001,16,110,13.75,1.45,0.066,0.033,
0.167048,0.0001,16,106,13.25,1.398,0.064,0.034,
0.169388,0.0001,16,115,14.375,1.516,0.069,0.035,
0.171655,0.0001,16,118,14.75,1.556,0.071,0.036,
0.173773,0.0001,16,110,13.75,1.45,0.066,0.037,
0.175753,0.0001,16,108,13.5,1.424,0.065,0.037,
0.177701,0.0001,16,110,13.75,1.45,0.066,0.038,
0.179722,0.0001,16,111,13.875,1.464,0.067,0.039,
0.181806,0.0001,16,110,13.75,1.45,0.066,0.039,
0.183903,0.0001,16,107,13.375,1.411,0.064,0.04,
0.186351,0.0001,16,116,14.5,1.53,0.07,0.041,
0.188404,0.0001,16,108,13.5,1.424,0.065,0.041,
0.19039,0.0001,16,106,13.25,1.398,0.064,0.042,
0.192325,0.0001,16,109,13.625,1.437,0.065,0.042,
0.194228,0.0001,16,111,13.875,1.464,0.067,0.043,
0.196347,0.0001,16,111,13.875,1.464,0.067,0.043,
0.198375,0.0001,16,111,13.875,1.464,0.067,0.043,
0.200814,0.0001,16,110,13.75,1.45,0.066,0.044,
0.203394,0.0001,16,110,13.75,1.45,0.066,0.044,
0.205902,0.0001,16,103,12.875,1.358,0.062,0.045,
0,0.0001,1,0.0,0.0,0.0,0.0,0.0,
0.003806,0.0001,16,110,13.75,1.45,0.066,0.047,
0.007137,0.0001,16,107,13.375,1.411,0.064,0.053,
0.010729,0.0001,16,112,14.0,1.477,0.067,0.057,
0.014383,0.0001,16,110,13.75,1.45,0.066,0.059,
0.018086,0.0001,16,110,13.75,1.45,0.066,0.06,
0.021437,0.0001,16,112,14.0,1.477,0.067,0.061,
0.024825,0.0001,16,110,13.75,1.45,0.066,0.062,
0.028256,0.0001,16,108,13.5,1.424,0.065,0.062,
0.031515,0.0001,16,105,13.125,1.384,0.063,0.062,
0.034748,0.0001,16,114,14.25,1.503,0.068,0.063,
0.03794,0.0001,16,111,13.875,1.464,0.067,0.063,
0.041285,0.0001,16,108,13.5,1.424,0.065,0.063,
0.044813,0.0001,16,109,13.625,1.437,0.065,0.063,
0.048391,0.0001,16,110,13.75,1.45,0.066,0.064,
0.052011,0.0001,16,107,13.375,1.411,0.064,0.064,
0.055398,0.0001,16,112,14.0,1.477,0.067,0.064,
0.058944,0.0001,16,106,13.25,1.398,0.064,0.064,
0.063033,0.0001,16,110,13.75,1.45,0.066,0.064,
0.067452,0.0001,16,108,13.5,1.424,0.065,0.064,
0.071712,0.0001,16,108,13.5,1.424,0.065,0.064,
0.075611,0.0001,16,110,13.75,1.45,0.066,0.064,
0.079595,0.0001,16,107,13.375,1.411,0.064,0.064,
0.083581,0.0001,16,107,13.375,1.411,0.064,0.064,
0,0.0001,1,0.0,0.0,0.0,0.0,0.0,
0.00354,0.0001,16,107,13.375,1.411,0.064,0.045,
0.006932,0.0001,16,107,13.375,1.411,0.064,0.052,
0.010146,0.0001,16,108,13.5,1.424,0.065,0.056,
0.013522,0.0001,16,108,13.5,1.424,0.065,0.058,
0.017151,0.0001,16,111,13.875,1.464,0.067,0.059,
0.020744,0.0001,16,107,13.375,1.411,0.064,0.06,
0.024091,0.0001,16,106,13.25,1.398,0.064,0.06,
0.027195,0.0001,16,106,13.25,1.398,0.064,0.061,
0.030461,0.0001,16,110,13.75,1.45,0.066,0.061,
0.033703,0.0001,16,109,13.625,1.437,0.065,0.062,
0.036752,0.0001,16,109,13.625,1.437,0.065,0.062,
0.039237,0.0001,16,106,13.25,1.398,0.064,0.062,
0.041702,0.0001,16,106,13.25,1.398,0.064,0.062,
0.044182,0.0001,16,110,13.75,1.45,0.066,0.062,
0.046882,0.0001,16,109,13.625,1.437,0.065,0.063,
0.049633,0.0001,16,111,13.875,1.464,0.067,0.063,
0.052434,0.0001,16,111,13.875,1.464,0.067,0.063,
0.055164,0.0001,16,110,13.75,1.45,0.066,0.063,
0.057713,0.0001,16,112,14.0,1.477,0.067,0.063,
0.060537,0.0001,16,109,13.625,1.437,0.065,0.064,
0.064023,0.0001,16,109,13.625,1.437,0.065,0.064,
0.067496,0.0001,16,114,14.25,1.503,0.068,0.064,
0.070966,0.0001,16,108,13.5,1.424,0.065,0.064,
0.073841,0.0001,16,112,14.0,1.477,0.067,0.064,
0.076467,0.0001,16,113,14.125,1.49,0.068,0.064,
0.079347,0.0001,16,114,14.25,1.503,0.068,0.064,
0.082213,0.0001,16,110,13.75,1.45,0.066,0.064,
0,0.0001,1,0.0,0.0,0.0,0.0,0.0,
0.003954,0.0001,16,109,13.625,1.437,0.065,0.046,
0.00732,0.0001,16,108,13.5,1.424,0.065,0.053,
0.010783,0.0001,16,107,13.375,1.411,0.064,0.056,
0.014413,0.0001,16,113,14.125,1.49,0.068,0.059,
0.017854,0.0001,16,110,13.75,1.45,0.066,0.06,
0.021195,0.0001,16,110,13.75,1.45,0.066,0.061,
0.024702,0.0001,16,107,13.375,1.411,0.064,0.061,
0.02838,0.0001,16,113,14.125,1.49,0.068,0.062,
0.031888,0.0001,16,112,14.0,1.477,0.067,0.062,
0.035457,0.0001,16,111,13.875,1.464,0.067,0.063,
0.039224,0.0001,16,110,13.75,1.45,0.066,0.063,
0.042778,0.0001,16,105,13.125,1.384,0.063,0.063,
0.046403,0.0001,16,108,13.5,1.424,0.065,0.063,
0.050104,0.0001,16,112,14.0,1.477,0.067,0.064,
0.053671,0.0001,16,115,14.375,1.516,0.069,0.064,
0.056886,0.0001,16,105,13.125,1.384,0.063,0.064,
0.060317,0.0001,16,109,13.625,1.437,0.065,0.064,
0.064254,0.0001,16,108,13.5,1.424,0.065,0.064,
0.068132,0.0001,16,109,13.625,1.437,0.065,0.064,
0.07181,0.0001,16,106,13.25,1.398,0.064,0.064,
0.075398,0.0001,16,109,13.625,1.437,0.065,0.064,
0.079211,0.0001,16,108,13.5,1.424,0.065,0.064,
0.083211,0.0001,16,108,13.5,1.424,0.065,0.064,
0,0.0001,1,0.0,0.0,0.0,0.0,0.0,
0.003768,0.0001,16,110,13.75,1.45,0.066,0.047,
0.007157,0.0001,16,106,13.25,1.398,0.064,0.053,
0.010562,0.0001,16,111,13.875,1.464,0.067,0.057,
0.014032,0.0001,16,110,13.75,1.45,0.066,0.059,
0.017566,0.0001,16,111,13.875,1.464,0.067,0.06,
0.021286,0.0001,16,110,13.75,1.45,0.066,0.061,
0.02497,0.0001,16,108,13.5,1.424,0.065,0.061,
0.029134,0.0001,16,108,13.5,1.424,0.065,0.062,
0.03282,0.0001,16,108,13.5,1.424,0.065,0.062,
0.036381,0.0001,16,109,13.625,1.437,0.065,0.062,
0.043338,0.0001,16,112,14.0,1.477,0.067,0.063,
0.047403,0.0001,16,112,14.0,1.477,0.067,0.063,
0.051528,0.0001,16,114,14.25,1.503,0.068,0.063,
0.065316,0.0001,16,111,13.875,1.464,0.067,0.064,
0.068843,0.0001,16,109,13.625,1.437,0.065,0.064,
0.072341,0.0001,16,109,13.625,1.437,0.065,0.064,
0.076158,0.0001,16,110,13.75,1.45,0.066,0.064,
0.080528,0.0001,16,109,13.625,1.437,0.065,0.064,
0,0.0001,1,0.0,0.0,0.0,0.0,0.0,
0.003775,0.0001,16,114,14.25,1.503,0.068,0.048,
0.007164,0.0001,16,111,13.875,1.464,0.067,0.055,
0.010692,0.0001,16,110,13.75,1.45,0.066,0.058,
0.014587,0.0001,16,110,13.75,1.45,0.066,0.06,
0.018085,0.0001,16,109,13.625,1.437,0.065,0.061,
0.021567,0.0001,16,110,13.75,1.45,0.066,0.061,
0.02546,0.0001,16,110,13.75,1.45,0.066,0.062,
0.029152,0.0001,16,110,13.75,1.45,0.066,0.062,
0.032592,0.0001,16,110,13.75,1.45,0.066,0.063,
0.035879,0.0001,16,109,13.625,1.437,0.065,0.063,
0.039156,0.0001,16,110,13.75,1.45,0.066,0.063,
0.042526,0.0001,16,112,14.0,1.477,0.067,0.064,
0.046007,0.0001,16,111,13.875,1.464,0.067,0.064,
