Date_time,Time Step,Gain,Rdg03,Rdg13,Rdg23,ac03,ac13,AC23,
0.011,-1396.529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
5.606,5.595,1,-129,575,-914,0.0,0.0,914,
11.473,5.867000000000001,1,-98,-16,588,0.0,0.0,588,
17.3,5.827,1,170,-594,589,0.0,0.0,589,
23.215,5.914999999999999,1,2,331,-914,0.0,0.0,914,
28.862,5.6469999999999985,1,-174,428,-333,0.0,0.0,333,
34.614,5.751999999999999,1,78,-542,587,0.0,0.0,587,
40.584,5.970000000000006,1,140,-153,-723,0.0,0.0,723,
46.541,5.956999999999994,1,-153,568,-916,0.0,0.0,916,
52.271,5.730000000000004,1,-46,-207,594,0.0,0.0,594,
57.684,5.412999999999997,1,175,-545,597,0.0,0.0,597,
63.111,5.427,1,-12,371,-914,0.0,0.0,914,
68.522,5.4110000000000085,1,-174,440,-455,0.0,0.0,455,
73.928,5.405999999999992,1,61,-499,592,0.0,0.0,592,
79.344,5.415999999999997,1,161,-307,-59,0.0,0.0,59,
84.75,5.406000000000006,1,-103,562,-914,0.0,0.0,914,
90.494,5.744,1,-134,155,562,0.0,0.0,562,
95.93400000000001,5.440000000000012,1,152,-604,593,0.0,0.0,593,
101.33300000000001,5.399000000000001,1,78,56,-917,0.0,0.0,917,
106.723,5.389999999999986,1,-168,575,-917,0.0,0.0,917,
112.108,5.385000000000005,1,-35,-220,593,0.0,0.0,593,
117.493,5.384999999999991,1,175,-555,596,0.0,0.0,596,
122.882,5.38900000000001,1,-7,349,-914,0.0,0.0,914,
128.273,5.390999999999991,1,-174,460,-547,0.0,0.0,547,
133.676,5.402999999999992,1,52,-475,592,0.0,0.0,592,
139.066,5.390000000000015,1,165,-343,60,0.0,0.0,60,
144.47199999999998,5.4059999999999775,1,-94,549,-914,0.0,0.0,914,
149.869,5.39700000000002,1,-142,190,487,0.0,0.0,487,
155.272,5.402999999999992,1,131,-596,592,0.0,0.0,592,
160.67600000000002,5.404000000000025,1,108,-48,-906,0.0,0.0,906,
166.069,5.392999999999972,1,-157,575,-915,0.0,0.0,915,
171.57,5.501000000000005,1,-65,-111,590,0.0,0.0,590,
177.331,5.760999999999996,1,173,-580,592,0.0,0.0,592,
183.196,5.865000000000009,1,-4,368,-914,0.0,0.0,914,
189.081,5.884999999999991,1,-171,372,-8,0.0,0.0,8,
194.589,5.50800000000001,1,98,-565,592,0.0,0.0,592,
200.011,5.421999999999997,1,135,-162,-614,0.0,0.0,614,
205.442,5.431000000000012,1,-139,575,-914,0.0,0.0,914,
210.827,5.384999999999991,1,-95,-1,597,0.0,0.0,597,
216.235,5.4080000000000155,1,162,-604,594,0.0,0.0,594,
222.052,5.816999999999979,1,53,148,-916,0.0,0.0,916,
227.518,5.466000000000008,1,-174,533,-883,0.0,0.0,883,
232.943,5.425000000000011,2,34,-769,1185,0.0,0.0,1185,
238.36499999999998,5.421999999999969,2,349,-871,832,0.0,0.0,832,
243.76700000000002,5.402000000000044,2,-129,999,-1828,0.0,0.0,1828,
249.17600000000002,5.408999999999992,2,-318,586,249,0.0,0.0,249,
254.558,5.381999999999977,2,213,-1142,1185,0.0,0.0,1185,
259.965,5.406999999999982,2,266,-301,-1277,0.0,0.0,1277,
265.356,5.3910000000000196,2,-280,1150,-1828,0.0,0.0,1828,
270.766,5.410000000000025,2,-190,1,1193,0.0,0.0,1193,
276.157,5.390999999999963,2,325,-1208,1188,0.0,0.0,1188,
281.54200000000003,5.385000000000048,2,106,294,-1832,0.0,0.0,1832,
286.943,5.400999999999954,2,-345,1138,-1836,0.0,0.0,1836,
292.363,5.420000000000016,2,-19,-604,1185,0.0,0.0,1185,
297.774,5.411000000000001,2,350,-1004,1195,0.0,0.0,1195,
303.191,5.416999999999973,2,-70,860,-1828,0.0,0.0,1828,
308.585,5.3940000000000055,2,-339,755,-398,0.0,0.0,398,
313.976,5.3910000000000196,2,162,-1073,1185,0.0,0.0,1185,
319.37399999999997,5.397999999999968,2,301,-493,-561,0.0,0.0,561,
324.772,5.398000000000025,2,-237,1148,-1828,0.0,0.0,1828,
330.168,5.396000000000015,2,-239,184,1196,0.0,0.0,1196,
335.55899999999997,5.390999999999963,2,302,-1205,1186,0.0,0.0,1186,
340.983,5.424000000000035,2,161,98,-1835,0.0,0.0,1835,
346.397,5.413999999999987,2,-335,1149,-1834,0.0,0.0,1834,
351.795,5.398000000000025,2,-70,-440,1186,0.0,0.0,1186,
357.18699999999995,5.391999999999939,2,350,-1109,1193,0.0,0.0,1193,
362.584,5.397000000000048,2,-14,706,-1828,0.0,0.0,1828,
368.00300000000004,5.41900000000004,2,-348,915,-1066,0.0,0.0,1066,
373.411,5.407999999999959,2,110,-967,1185,0.0,0.0,1185,
378.804,5.392999999999972,2,329,-665,61,0.0,0.0,61,
384.226,5.4220000000000255,2,-192,1109,-1828,0.0,0.0,1828,
389.617,5.3910000000000196,2,-278,355,1037,0.0,0.0,1037,
395.012,5.394999999999982,2,267,-1193,1185,0.0,0.0,1185,
400.403,5.3910000000000196,2,209,-77,-1826,0.0,0.0,1826,
405.80100000000004,5.398000000000025,2,-317,1149,-1831,0.0,0.0,1831,
411.192,5.390999999999963,2,-125,-240,1189,0.0,0.0,1189,
416.57899999999995,5.386999999999944,2,343,-1180,1191,0.0,0.0,1191,
422.002,5.423000000000059,2,41,527,-1830,0.0,0.0,1830,
427.41499999999996,5.412999999999954,2,-348,1038,-1666,0.0,0.0,1666,
432.809,5.394000000000062,2,52,-816,1185,0.0,0.0,1185,
438.198,5.388999999999953,2,346,-841,708,0.0,0.0,708,
443.868,5.670000000000016,2,-139,1020,-1828,0.0,0.0,1828,
449.261,5.393000000000029,2,-297,453,711,0.0,0.0,711,
454.657,5.395999999999958,4,487,-2048,2047,0.0,0.0,2047,
460.04699999999997,5.389999999999986,4,471,-353,-2048,0.0,0.0,2048,
465.433,5.386000000000024,4,-607,2047,-2048,0.0,0.0,2048,
470.829,5.396000000000015,4,-310,-251,2047,0.0,0.0,2047,
476.21799999999996,5.388999999999953,4,672,-2048,2047,0.0,0.0,2047,
481.611,5.393000000000029,4,142,845,-2048,0.0,0.0,2048,
487.002,5.3910000000000196,4,-695,2047,-2048,0.0,0.0,2048,
492.39,5.387999999999977,4,29,-1425,2047,0.0,0.0,2047,
497.77900000000005,5.389000000000067,4,699,-1872,2047,0.0,0.0,2047,
503.16799999999995,5.388999999999896,4,-203,1869,-2048,0.0,0.0,2048,
508.554,5.386000000000024,4,-662,1349,-204,0.0,0.0,204,
513.981,5.427000000000021,4,371,-2048,2047,0.0,0.0,2047,
519.3729999999999,5.391999999999939,4,567,-787,-1850,0.0,0.0,1850,
524.772,5.399000000000115,4,-520,2047,-2048,0.0,0.0,2048,
530.16,5.38799999999992,4,-428,172,2047,0.0,0.0,2047,
535.547,5.387000000000057,4,629,-2048,2047,0.0,0.0,2047,
540.963,5.41599999999994,4,269,374,-2048,0.0,0.0,2048,
548.057,7.094000000000051,4,-683,2047,-2048,0.0,0.0,2048,
556.549,8.491999999999962,4,363,-2048,2047,0.0,0.0,2047,
565.0150000000001,8.466000000000122,4,-34,2008,-2048,0.0,0.0,2048,
