Time,Time Step,gain,Reading,adc Milli Volts,Input mv,I,Irms,
4.149,1.932,2,718,724.5,724.5,3.293,29.486,
6.181,1.934,2,1149,1155.5,1155.5,5.252,29.486,
8.288,1.97,2,1194,1200.5,1200.5,5.457,29.486,
10.618,1.949,2,775,781.5,781.5,3.552,29.486,
12.607,2.012,2,78,84.5,84.5,0.384,29.486,
14.52,1.938,2,-661,-654.5,-654.5,-2.975,29.486,
16.43,1.98,2,-1116,-1109.5,-1109.5,-5.043,29.486,
18.478,1.903,2,-1119,-1112.5,-1112.5,-5.057,29.486,
20.82,1.918,2,-871,-864.5,-864.5,-3.93,29.486,
23.177,1.905,2,-214,-207.5,-207.5,-0.943,29.486,
25.535,1.89,2,509,515.5,515.5,2.343,13.982,
27.804000000000002,2.048,2,1056,1062.5,1062.5,4.83,13.982,
29.947000000000003,2.0709999999999997,2,1201,1207.5,1207.5,5.489,13.982,
31.912000000000003,2.126,2,902,908.5,908.5,4.13,13.982,
33.816,2.0820000000000003,2,166,172.5,172.5,0.784,13.982,
35.736000000000004,2.2390000000000003,2,-607,-600.5,-600.5,-2.73,13.982,
37.664,2.285,2,-1119,-1112.5,-1112.5,-5.057,13.982,
39.627,1.955,2,-1118,-1111.5,-1111.5,-5.052,13.982,
41.601,1.951,2,-716,-709.5,-709.5,-3.225,13.982,
43.561,1.9819999999999998,2,-19,-12.5,-12.5,-0.057,13.982,
45.474,1.95,2,715,721.5,721.5,3.28,11.579,
47.538999999999994,2.39,2,1151,1157.5,1157.5,5.261,11.579,
49.468999999999994,1.9919999999999998,2,1146,1152.5,1152.5,5.239,11.579,
51.416999999999994,1.9589999999999999,2,616,622.5,622.5,2.83,11.579,
53.498,1.907,2,-87,-80.5,-80.5,-0.366,11.579,
55.602,1.8860000000000001,2,-771,-764.5,-764.5,-3.475,11.579,
57.666,1.879,2,-1119,-1112.5,-1112.5,-5.057,11.579,
60.01,2.006,2,-1119,-1112.5,-1112.5,-5.057,11.579,
60.11,2.142,2,-743,-736.5,-736.5,-3.348,11.579,
60.21,2.07,2,13,19.5,19.5,0.089,10.626,
60.31,2.023,2,767,773.5,773.5,3.516,10.626,
60.410000000000004,2.298,2,1174,1180.5,1180.5,5.366,10.626,
60.510000000000005,2.0010000000000003,2,1127,1133.5,1133.5,5.152,10.626,
60.61000000000001,1.925,2,576,582.5,582.5,2.648,10.626,
60.71000000000001,1.9220000000000002,2,-125,-118.5,-118.5,-0.539,10.626,
60.81000000000001,1.9559999999999997,2,-815,-808.5,-808.5,-3.675,10.626,
60.91000000000001,1.924,2,-1118,-1111.5,-1111.5,-5.052,10.626,
61.01000000000001,1.9189999999999998,2,-1118,-1111.5,-1111.5,-5.052,10.626,
61.110000000000014,1.964,2,-715,-708.5,-708.5,-3.22,10.626,
61.210000000000015,1.924,2,-14,-7.5,-7.5,-0.034,10.626,
61.31000000000002,1.891,2,691,697.5,697.5,3.17,9.928,
61.41000000000002,2.045,2,1137,1143.5,1143.5,5.198,9.928,
61.51000000000002,1.949,2,1194,1200.5,1200.5,5.457,9.928,
61.61000000000002,1.9400000000000002,2,783,789.5,789.5,3.589,9.928,
61.71000000000002,2.048,2,90,96.5,96.5,0.439,9.928,
61.810000000000024,2.076,2,-674,-667.5,-667.5,-3.034,9.928,
61.910000000000025,2.093,2,-1118,-1111.5,-1111.5,-5.052,9.928,
62.010000000000026,2.076,2,-1118,-1111.5,-1111.5,-5.052,9.928,
62.11000000000003,2.1470000000000002,2,-714,-707.5,-707.5,-3.216,9.928,
62.21000000000003,2.182,2,101,107.5,107.5,0.489,9.603,
62.31000000000003,1.9469999999999998,2,822,828.5,828.5,3.766,9.603,
62.41000000000003,1.89,2,1180,1186.5,1186.5,5.393,9.603,
62.51000000000003,1.918,2,1172,1178.5,1178.5,5.357,9.603,
62.610000000000035,1.981,2,688,694.5,694.5,3.157,9.603,
62.710000000000036,1.9940000000000002,2,-34,-27.5,-27.5,-0.125,9.603,
62.81000000000004,1.943,2,-750,-743.5,-743.5,-3.38,9.603,
62.91000000000004,1.914,2,-1118,-1111.5,-1111.5,-5.052,9.603,
63.01000000000004,1.906,2,-1118,-1111.5,-1111.5,-5.052,9.603,
63.11000000000004,1.888,2,-802,-795.5,-795.5,-3.616,9.603,
63.21000000000004,1.897,2,-144,-137.5,-137.5,-0.625,9.603,
63.310000000000045,1.896,2,573,579.5,579.5,2.634,9.3,
63.410000000000046,1.996,2,1089,1095.5,1095.5,4.98,9.3,
63.51000000000005,2.07,2,1202,1208.5,1208.5,5.493,9.3,
63.61000000000005,2.063,2,860,866.5,866.5,3.939,9.3,
63.71000000000005,2.033,2,143,149.5,149.5,0.68,9.3,
63.81000000000005,2.366,2,-613,-606.5,-606.5,-2.757,9.3,
63.91000000000005,2.024,2,-1119,-1112.5,-1112.5,-5.057,9.3,
64.01000000000005,1.9120000000000001,2,-1118,-1111.5,-1111.5,-5.052,9.3,
64.11000000000004,1.97,2,-766,-759.5,-759.5,-3.452,9.3,
64.21000000000004,2.018,2,-51,-44.5,-44.5,-0.202,9.3,
64.31000000000003,1.942,2,684,690.5,690.5,3.139,9.104,
64.41000000000003,1.921,2,1139,1145.5,1145.5,5.207,9.104,
64.51000000000002,1.941,2,1200,1206.5,1206.5,5.484,9.104,
64.61000000000001,1.911,2,826,832.5,832.5,3.784,9.104,
64.71000000000001,1.899,2,168,174.5,174.5,0.793,9.104,
64.81,1.8760000000000001,2,-549,-542.5,-542.5,-2.466,9.104,
64.91,1.879,2,-1081,-1074.5,-1074.5,-4.884,9.104,
65.00999999999999,1.936,2,-1118,-1111.5,-1111.5,-5.052,9.104,
65.10999999999999,2.15,2,-975,-968.5,-968.5,-4.402,9.104,
65.20999999999998,2.133,2,-245,-238.5,-238.5,-1.084,9.104,
65.30999999999997,2.069,2,547,553.5,553.5,2.516,8.962,
65.40999999999997,2.098,2,1102,1108.5,1108.5,5.039,8.962,
65.50999999999996,2.1159999999999997,2,1201,1207.5,1207.5,5.489,8.962,
65.60999999999996,1.954,2,804,810.5,810.5,3.684,8.962,
65.70999999999995,1.9200000000000002,2,137,143.5,143.5,0.652,8.962,
65.80999999999995,1.923,2,-582,-575.5,-575.5,-2.616,8.962,
65.90999999999994,1.967,2,-1103,-1096.5,-1096.5,-4.984,8.962,
66.00999999999993,1.933,2,-1118,-1111.5,-1111.5,-5.052,8.962,
66.10999999999993,1.935,2,-926,-919.5,-919.5,-4.18,8.962,
66.20999999999992,1.957,2,-271,-264.5,-264.5,-1.202,8.962,
66.30999999999992,1.952,2,470,476.5,476.5,2.166,8.839,
66.40999999999991,1.898,2,1046,1052.5,1052.5,4.784,8.839,
66.5099999999999,2.156,2,1200,1206.5,1206.5,5.484,8.839,
66.6099999999999,1.9369999999999998,2,944,950.5,950.5,4.32,8.839,
66.7099999999999,2.0460000000000003,2,314,320.5,320.5,1.457,8.839,
66.80999999999989,2.069,2,-481,-474.5,-474.5,-2.157,8.839,
66.90999999999988,2.059,2,-1083,-1076.5,-1076.5,-4.893,8.839,
67.00999999999988,2.034,2,-1119,-1112.5,-1112.5,-5.057,8.839,
67.10999999999987,2.399,2,-911,-904.5,-904.5,-4.111,8.839,
67.20999999999987,1.98,2,-88,-81.5,-81.5,-0.37,8.839,
67.30999999999986,1.906,2,636,642.5,642.5,2.92,8.745,
67.40999999999985,1.899,2,1117,1123.5,1123.5,5.107,8.745,
67.50999999999985,1.946,2,1201,1207.5,1207.5,5.489,8.745,
67.60999999999984,1.938,2,881,887.5,887.5,4.034,8.745,
67.70999999999984,1.9849999999999999,2,209,215.5,215.5,0.98,8.745,
67.80999999999983,1.926,2,-535,-528.5,-528.5,-2.402,8.745,
67.90999999999983,1.898,2,-1081,-1074.5,-1074.5,-4.884,8.745,
68.00999999999982,1.907,2,-1118,-1111.5,-1111.5,-5.052,8.745,
68.10999999999981,1.883,2,-998,-991.5,-991.5,-4.507,8.745,
68.20999999999981,1.954,2,-383,-376.5,-376.5,-1.711,8.745,
68.3099999999998,1.935,2,347,353.5,353.5,1.607,8.67,
68.4099999999998,2.096,2,976,982.5,982.5,4.466,8.67,
68.50999999999979,2.083,2,1200,1206.5,1206.5,5.484,8.67,
68.60999999999979,2.153,2,982,988.5,988.5,4.493,8.67,
68.70999999999978,2.097,2,278,284.5,284.5,1.293,8.67,
68.80999999999977,2.081,2,-507,-500.5,-500.5,-2.275,8.67,
68.90999999999977,2.199,2,-1105,-1098.5,-1098.5,-4.993,8.67,
69.00999999999976,1.9589999999999999,2,-1118,-1111.5,-1111.5,-5.052,8.67,
69.10999999999976,2.077,2,-884,-877.5,-877.5,-3.989,8.67,
69.20999999999975,2.16,2,-103,-96.5,-96.5,-0.439,8.67,
69.30999999999975,1.952,2,641,647.5,647.5,2.943,8.602,
69.40999999999974,1.932,2,1125,1131.5,1131.5,5.143,8.602,
69.50999999999974,1.923,2,1201,1207.5,1207.5,5.489,8.602,
69.60999999999973,1.9200000000000002,2,865,871.5,871.5,3.961,8.602,
69.70999999999972,1.955,2,203,209.5,209.5,0.952,8.602,
69.80999999999972,1.921,2,-536,-529.5,-529.5,-2.407,8.602,
69.90999999999971,1.8940000000000001,2,-1081,-1074.5,-1074.5,-4.884,8.602,
70.0099999999997,2.013,2,-1118,-1111.5,-1111.5,-5.052,8.602,
70.1099999999997,2.0860000000000003,2,-956,-949.5,-949.5,-4.316,8.602,
70.2099999999997,2.0820000000000003,2,-261,-254.5,-254.5,-1.157,8.602,
70.30999999999969,2.041,2,534,540.5,540.5,2.457,8.548,
70.40999999999968,2.385,2,1105,1111.5,1111.5,5.052,8.548,
70.50999999999968,2.002,2,1196,1202.5,1202.5,5.466,8.548,
70.60999999999967,1.918,2,783,789.5,789.5,3.589,8.548,
70.70999999999967,1.918,2,115,121.5,121.5,0.552,8.548,
70.80999999999966,1.9819999999999998,2,-617,-610.5,-610.5,-2.775,8.548,
70.90999999999966,1.938,2,-1112,-1105.5,-1105.5,-5.025,8.548,
71.00999999999965,1.933,2,-1118,-1111.5,-1111.5,-5.052,8.548,
71.10999999999964,1.935,2,-898,-891.5,-891.5,-4.052,8.548,
71.20999999999964,1.946,2,-237,-230.5,-230.5,-1.048,8.548,
71.30999999999963,1.89,2,494,500.5,500.5,2.275,8.494,
71.40999999999963,1.8760000000000001,2,1046,1052.5,1052.5,4.784,8.494,
71.50999999999962,2.143,2,1200,1206.5,1206.5,5.484,8.494,
71.60999999999962,1.974,2,949,955.5,955.5,4.343,8.494,
71.70999999999961,2.084,2,287,293.5,293.5,1.334,8.494,
71.8099999999996,2.078,2,-511,-504.5,-504.5,-2.293,8.494,
71.9099999999996,2.0869999999999997,2,-1097,-1090.5,-1090.5,-4.957,8.494,
72.0099999999996,2.284,2,-1118,-1111.5,-1111.5,-5.052,8.494,
72.10999999999959,2.285,2,-726,-719.5,-719.5,-3.27,8.494,
72.20999999999958,1.935,2,-8,-1.5,-1.5,-0.007,8.494,
72.30999999999958,1.9,2,695,701.5,701.5,3.189,8.446,
72.40999999999957,1.9929999999999999,2,1140,1146.5,1146.5,5.211,8.446,
72.50999999999956,1.941,2,1196,1202.5,1202.5,5.466,8.446,
72.60999999999956,1.976,2,797,803.5,803.5,3.652,8.446,
72.70999999999955,1.975,2,92,98.5,98.5,0.448,8.446,
72.80999999999955,1.9449999999999998,2,-638,-631.5,-631.5,-2.87,8.446,
72.90999999999954,1.9120000000000001,2,-1112,-1105.5,-1105.5,-5.025,8.446,
73.00999999999954,1.931,2,-1117,-1110.5,-1110.5,-5.048,8.446,
